"#","","","","","","","ATTACK","","","","","SET","","SERVE","","","Bio Link"
"","Player","SP","MP","MS","","PTS","PTS/S","K","K/S","E","TA","PCT","A","A/S","SA","SA/S","SE"
"3","Gonzalez, Alexa                                              3Gonzalez, Alexa","121","32","31","73.0","0.60","23","0.19","15","96",".083","950","7.85","44","0.36","72","View Bio"
"4","Stanley, Addison                                             4Stanley, Addison","43","17","1","7.0","0.16","1","0.02","0","8",".125","6","0.14","6","0.14","32","View Bio"
"6","Moon, Emily                                             6Moon, Emily","35","13","4","64.0","1.83","54","1.54","27","209",".129","4","0.11","0","0.00","0","View Bio"
"7","Johnson, Riley                                             7Johnson, Riley","48","18","11","35.0","0.73","10","0.21","2","37",".216","1","0.02","9","0.19","21","View Bio"
"9","Elms, Kinley                                             9Elms, Kinley","60","17","15","205.5","3.43","185","3.08","70","579",".199","2","0.03","7","0.12","10","View Bio"
"10","McEllrath, Hailey                                             10McEllrath, Hailey","83","24","23","113.0","1.36","59","0.71","34","154",".162","5","0.06","16","0.19","28","View Bio"
"11","Moffitt, Jo                                             11Moffitt, Jo","62","20","1","17.0","0.27","2","0.03","1","16",".063","240","3.87","15","0.24","35","View Bio"
"14","Nellis, Keeley                                             14Nellis, Keeley","93","28","10","19.0","0.20","1","0.01","0","6",".167","13","0.14","18","0.19","22","View Bio"
"17","Malinowska, Maja                                             17Malinowska, Maja","107","29","29","487.5","4.56","422","3.94","185","1155",".205","22","0.21","36","0.34","37","View Bio"
"18","Bustamante, Ceci                                             18Bustamante, Ceci","9","6","0","1.0","0.11","1","0.11","0","1","1.000","1","0.11","0","0.00","3","View Bio"
"19","Baker, Gabby                                             19Baker, Gabby","121","32","0","17.0","0.14","1","0.01","1","20",".000","95","0.79","16","0.13","17","View Bio"
"20","Udegbunam, Daniella                                             20Udegbunam, Daniella","114","31","30","162.5","1.43","79","0.69","30","215",".228","1","0.01","0","0.00","0","View Bio"
"21","Rhone, Taisha                                             21Rhone, Taisha","98","27","18","359.5","3.67","298","3.04","103","920",".212","8","0.08","22","0.22","25","View Bio"
"22","Jordan, Lyric                                             22Jordan, Lyric","101","28","18","283.5","2.81","257","2.54","70","903",".207","3","0.03","5","0.05","1","View Bio"
"30","Griffen, Sydnee                                             30Griffen, Sydnee","26","10","1","38.0","1.46","32","1.23","8","118",".203","0","0.00","0","0.00","0","View Bio"
"","Total","121","32","","1,882.5","15.56","1425","11.78","546","4437",".198","1351","11.17","194","1.60","303",""
"","Opponents","121","32","","1,861.0","15.38","1503","12.42","680","4486",".183","1386","11.45","160","1.32","219",""