"","","","","","","","ATTACK","","","","","SET","","SERVE","",""
"#","Player","sp","mp","ms","pts","pts/s","k","k/s","E","ta","PCT","a","a/s","sa","sa/S","se"
"1","Lantz, Raegan","56","20","2","106.0","1.89","88","1.57","40","262",".183","1","0.02","0","0.00","1"
"2","Hicks, Hayden","118","31","24","29.5","0.25","10","0.08","7","33",".091","603","5.11","18","0.15","17"
"3","McClure, Anna","115","29","1","7.0","0.06","4","0.03","1","16",".188","48","0.42","3","0.03","2"
"5","Kahren, Lindsay","124","31","6","2.5","0.02","0","0.00","1","12","-.083","73","0.59","2","0.02","11"
"6","Creech, Molly","125","31","31","396.0","3.17","347","2.78","112","1195",".197","20","0.16","23","0.18","30"
"7","Williams, Chelsea","113","30","20","350.0","3.10","327","2.89","163","971",".169","3","0.03","2","0.02","14"
"8","Crawford, Sophie","23","12","0","1.0","0.04","0","0.00","1","3","-.333","49","2.13","0","0.00","0"
"10","Hanson, Ellie","90","30","9","107.5","1.19","80","0.89","37","291",".148","14","0.16","17","0.19","29"
"11","Warrick, Gentry","120","31","30","246.0","2.05","135","1.13","33","360",".283","6","0.05","9","0.08","23"
"13","Morgan, Emily","18","9","0","1.0","0.06","1","0.06","0","1","1.000","2","0.11","0","0.00","3"
"14","Utley, Kamryn","120","31","7","27.0","0.23","6","0.05","3","35",".086","585","4.88","20","0.17","25"
"15","Michelin, Lydia","87","24","21","148.5","1.71","105","1.21","38","217",".309","2","0.02","1","0.01","9"
"17","Coyne, Lauren","119","31","18","306.0","2.57","255","2.14","103","759",".200","3","0.03","1","0.01","7"
"20","Radaszewski, Lindy","117","31","16","190.5","1.63","135","1.15","64","369",".192","6","0.05","25","0.21","28"
"22","Kreutz, Grace","55","19","1","46.0","0.84","30","0.55","17","110",".118","6","0.11","14","0.25","12"
"Total","","125","31","","1,964.5","15.72","1523","12.18","620","4634",".195","1421","11.37","135","1.08","211"
"","","125","31","","2,137.0","17.10","1724","13.79","763","4769",".202","1631","13.05","126","1.01","249"