"","","","DIG","","RECEPT","","","","BLOCK","","","","",""
"#","Player","sp","dig","dig/s","re","TA","REC%","re/s","BS","ba","BLK","BLK/s","BE","BHE"
"1","Carr, Logan","102","24","0.24","0","7","1.000","0.00","9","81","90.0","0.88","6","0"
"2","Durbin, Raegan","106","254","2.40","43","640",".933","0.41","1","26","27.0","0.25","4","0"
"3","Clinkscale, Gabrielle","75","82","1.09","24","254",".906","0.32","0","27","27.0","0.36","5","0"
"4","Lowell, Marie","93","155","1.67","31","387",".920","0.33","0","0","0","0.00","0","0"
"6","Marginean, Nora","8","9","1.13","0","0",".000","0.00","0","0","0","0.00","0","0"
"7","Yilmaz, Isil","106","372","3.51","50","516",".903","0.47","0","0","0","0.00","0","0"
"13","Dlouhá, Michaela","101","68","0.67","0","14","1.000","0.00","11","86","97.0","0.96","7","2"
"14","Deidesheimer, Payton","96","35","0.36","0","11","1.000","0.00","3","53","56.0","0.58","2","0"
"16","Macander, Caroline","106","303","2.86","0","4","1.000","0.00","1","32","33.0","0.31","6","3"
"17","Oden, Ryan","29","35","1.21","8","65",".877","0.28","0","0","0","0.00","0","0"
"19","Cohen, Danit","15","21","1.40","0","0",".000","0.00","0","0","0","0.00","0","1"
"22","Schrader, Aowyn","59","23","0.39","4","52",".923","0.07","1","29","30.0","0.51","7","1"
"26","Stevens, Trinniti","32","7","0.22","0","2","1.000","0.00","1","14","15.0","0.47","1","0"
"33","Poole, Mackenna","75","123","1.64","18","158",".886","0.24","0","0","0","0.00","0","0"
"Total","","106","1511","14.25","211","2110",".900","1.99","27","348","201.0","1.90","38","7"
"","","106","1556","14.68","159","1976",".920","1.50","49","356","227.0","2.14","48","5"