"#","Name","Class","Pos","Hometown"
"2","Kendall White","Fr.","OH","Peachtree Corners, Ga."
"3","Erin Jones","Sr.","S/RS","Albuquerque, N.M."
"4","Martina Capponcelli","Fr.","S","Bologna, Italy"
"5","Ana Franca Benjamim","So.","OH/DS","Medianeira, Brasil"
"6","Ludovica Zola","Sr.","MB","Milan, Italy"
"7","Ella Parker","R-Fr.","OH","Corrales, N.M."
"8","Shiloh Clayton","Fr.","L/DS","Atlanta, Ga."
"9","Rashanny Solano Smith","Jr.","L/DS","Limon, Costa Rica"
"10","Barbara Costa dos Santos","So.","OH","Sao Paulo, Brazil"
"14","Chloe Bell","Fr.","MB","Atlanta, Ga."
"15","Lucrezia Lodi","Sr.","OH","San Lazzaro di Savena, Italy"
"16","Martina Ghezzi","Sr.","OH","Novate Milanese, Italy"
"22","Kya Harris","So.","MB","Atlanta, Ga."